symbol,marketCap,trailingPE,trailingEps,returnOnEquity,profitMargins,dividendYield
000768.SZ,66698854400,107.13636,0.22,0.0374,0.015859999,0.0036000002
600176.SS,55243333632,9.787234,1.41,0.21361999,0.30403998,0.037
600352.SS,30451167232,10.285713,0.91,0.092530005,0.14057,0.026600001
601138.SS,410168885248,18.4375,1.12,0.15624,0.038900003,0.027999999
601877.SS,56802476032,11.846847,2.22,0.1438,0.09116,0.0155
603993.SS,109445963776,25.571428,0.21,0.1011,0.02658,0.013200001
001979.SZ,103626555392,33.475,0.4,0.030079998,0.02283,0.017
002008.SZ,26925348864,25.731956,0.97,0.068720005,0.07288,0.0084
002202.SZ,40654802944,20.075474,0.53,0.060349997,0.051570002,0.0235
300529.SZ,20220758016,26.462366,0.93,0.19767,0.31726998,0.024500001
600547.SS,100330840064,108.217384,0.23,0.04537,0.02744,0.002
601186.SS,125137903616,5.7374306,1.79,0.086619996,0.024360001,0.0235
601600.SS,85952962560,23.291668,0.24,0.12149,0.0144299995,0.0057
601788.SS,63082397696,23.522388,0.67,0.054429997,0.32087,0.014199999
601916.SS,55942918144,4.9464283,0.56,0.08862001,0.39933,0.0729
603369.SS,68269887488,24.849314,2.19,0.25493,0.31675,0.013300001
688169.SS,31583438848,30.098215,11.2,0.11217,0.16252,0.0067000003
000938.SZ,93867827200,39.542168,0.83,0.103190005,0.02957,0.0032
002555.SZ,76693602304,23.52381,1.47,0.23618999,0.18462,0.0257
002736.SZ,87376994304,14.901639,0.61,0.06843,0.41535,0.0545
003816.SZ,136455323648,15.45,0.2,0.10311,0.12628001,0.0275
603899.SS,39500832768,29.811192,1.43,0.19920999,0.06491,0.0117
000425.SZ,74678386688,19.750002,0.32,0.08004,0.04123,0.0616
300136.SZ,19254622208,28.428572,0.7,0.10479999,0.07993,0.0026
600109.SS,32513660928,18.97826,0.46,0.05939,0.25065002,0.0046
600150.SS,124781035520,696.50006,0.04,0.01667,0.00294,0.0011
600989.SS,92253667328,16.337662,0.77,0.17013,0.20041001,0.0255
601066.SS,154272153600,24.484535,0.97,0.09272,0.28413,0.0164
601669.SS,98361597952,8.5223875,0.67,0.06825,0.02039,0.0173
000596.SZ,114607800320,35.943066,6.85,0.18924,0.20053,0.009
000783.SZ,33400956928,15.48718,0.39,0.06862,0.29243,0.0497
002384.SZ,43432288256,17.033783,1.48,0.15564,0.08041,0.0086
002624.SZ,36006764544,43.046513,0.43,0.07719,0.10451999,0.0199
300558.SZ,21219848192,181.53572,0.28,0.01909,0.04869,0.0014
300677.SZ,14528589824,37.372883,0.59,0.025729999,0.066539995,0.0045
600079.SS,45063073792,19.574469,1.41,0.16409999,0.0956,0.0056
600085.SS,76550406144,48.805313,1.13,0.13509,0.09354,0.0050999997
600183.SS,34811113472,26.553572,0.56,0.0881,0.076230004,0.0309
600886.SS,94891704320,20.532257,0.62,0.093669996,0.08833,0.013200001
601238.SS,90223525888,16.328125,0.64,0.05624,0.058229998,0.0225
601838.SS,47817469952,5.0793653,2.52,0.17557,0.60048,0.048299998
603019.SS,75703951360,46.169643,1.12,0.1071,0.11931,0.0044
603659.SS,67942621184,21.458597,1.57,0.26226,0.19770999,0.01
688008.SS,64836083712,65.5977,0.87,0.108059995,0.31742,0.0053
002252.SZ,47455158272,22.709677,0.31,0.073410004,0.29528,0.0043
002938.SZ,59031998464,12.114286,2.1,0.18325001,0.1351,0.028499998
